"Primary ISBN10","Primary ISBN13",Title,Author
1421537737,9781421537733,"D.GRAY-MAN, VOL. 19","Katsura Hoshino"
1934876550,9781934876558,"DANCE IN THE VAMPIRE BUND, VOL. 10","Nozomu Tamaki"
193593404X,9781935934042,"DANCE IN THE VAMPIRE BUND, VOL. 11","Nozomu Tamaki"
1935934724,9781935934721,"DANCE IN THE VAMPIRE BUND, VOL. 12","Nozomu Tamaki"
1937867021,9781937867027,"DANCE IN THE VAMPIRE BUND, VOL. 13","Nozomu Tamaki"
None,9781937867263,"DANCE IN THE VAMPIRE BUND, VOL. 14","Nozomu Tamaki"
1934876801,9781934876800,"DANCE IN THE VAMPIRE BUND, VOL. 7","Nozomu Tamaki"
193487681X,9781934876817,"DANCE IN THE VAMPIRE BUND, VOL. 8","Nozomu Tamaki"
1934876879,9781934876879,"DANCE IN THE VAMPIRE BUND, VOL. 9","Nozomu Tamaki"
1626920516,9781626920514,"DANCE IN THE VAMPIRE BUND: FORGOTTEN TALES","Nozomu Tamaki"
1421541041,9781421541044,"DAWN OF THE ARCANA, VOL. 1","Rei Toma"
1421541076,9781421541075,"DAWN OF THE ARCANA, VOL. 4","Rei Toma"
1421542137,9781421542133,"DAWN OF THE ARCANA, VOL. 5","Rei Toma"
1421549204,9781421549200,"DAWN OF THE ARCANA, VOL. 9","Rei Toma"
1421555484,9781421555485,"DEADMAN WONDERLAND, VOL. 1","Jinsei Katoka and Kazuma Kondou"
1421564106,9781421564104,"DEADMAN WONDERLAND, VOL. 2","Jinsei Katoka and Kazuma Kondou"
142781743X,9781427817433,"DEADMAN WONDERLAND, VOL. 3","Jinsei Kataoka"
1421564122,9781421564128,"DEADMAN WONDERLAND, VOL. 4","Jinsei Katoka and Kazuma Kondou"
1421564130,9781421564135,"DEADMAN WONDERLAND, VOL. 5","Jinsei Kataoka"
1421564149,9781421564142,"DEADMAN WONDERLAND, VOL. 6","Jinsei Kataoka and Kazuma Kondou"
1421564157,9781421564159,"DEADMAN WONDERLAND, VOL. 7","Jinsei Kataoka and Kazuma Kondou"
1421539659,9781421539652,"DEATH NOTE BLACK EDITION, VOL. 2","Tsugumi Ohba and Takeshi Obata"
1421539683,9781421539683,"DEATH NOTE BLACK EDITION, VOL. 5","Tsugumi Ohba"
1421539640,9781421539645,"DEATH NOTE BLACK, VOL. 1","Tsugumi Ohba and Takeshi Obata"
1421501686,9781421501680,"DEATH NOTE, VOL. 1","Tsugumi Ohba and Takeshi Obata"
1421539691,9781421539690,"DEATH NOTE: BLACK EDITION, VOL. 6","Tsugumi Ohba"
1421532255,9781421532257,"DEATH NOTE: L, CHANGE THE WORLD",M
1421550776,9781421550770,"DEMON LOVE SPELL, VOL. 2","Mayu Shinjo"
1421553651,9781421553658,"DEMON LOVE SPELL, VOL. 4","Mayu Shinjo"
1421553740,9781421553740,"DEMON LOVE SPELL, VOL. 5","Mayu Shinjo"
